year,people_mill
-300000,150
-225000,150000
-150000,500000
-75000,2000000
-10000,4000000
-8000,5000000
-7000,5000000
-6000,5000000
-5000,5000000
-4000,7000000
-3000,14000000
-2000,27000000
-1000,50000000
-750,60000000
-500,100000000
-400,160000000
-200,150000000
0,170000000
200,190000000
400,190000000
500,190000000
600,200000000
700,210000000
800,220000000
900,226000000
1000,310000000
1100,301000000
1200,360000000
1250,400000000
1300,360000000
1340,443000000
1400,350000000
1500,425000000
1600,545000000
1650,470000000
1700,600000000
1750,790000000
1800,980000000
1850,1260000000
1900,1650000000
1910,1750000000
1920,1860000000
1930,2070000000
1940,2300000000
1950,2400000000
1960,3020000000
1970,3700000000
1974,4000000000
1980,4430000000
1987,5000000000
1990,5260000000
2000,6150000000
2001,6230000000
2002,6312000000
2003,6394000000
2004,6476000000
2005,6558000000
2006,6641000000
2007,6726000000
2008,6812000000
2009,6898000000
2010,6986000000
2011,7073000000
2012,7162000000
2013,7251000000
2014,7339000000
2015,7427000000
2016,7513000000
2017,7600000000
2018,7684000000
2019,7765000000
2020,7841000000
2021,7909000000
2022,7975000000
2023,8045000000
2024,8120000000
2025,8176000000